301,Canonicalize paths before sending to file watchers
2015-09-24T17:59:59Z,discuss,"No, it's not necessarily true for other watchers, but we have three and it's turned out true for all of them. I suspect it would be true for almost any file watcher, but sure, it doesn't have to be."
2015-09-24T17:59:59Z,discuss,"Computation-wise, it seems like we either do it once, or 1 + N times, where N >= 0. If we had to do it ourselves, we'd just stick this watcher implementation into each of our file watchers (which we certainly can - it just seems a nicer interface to the file watchers to know that it's already canonicalized)."
2015-09-30T12:40:03Z,discuss,"OK, three is convincing enough.
To avoid multiple computations, both mapping and filtering need to be moved out of NativeFileWatcherImpl into FileWatcher then."
2015-09-30T18:38:37Z,discuss,"Ok, that sounds good."
2015-09-30T18:38:37Z,discuss,"I have a question about the mapping. It would be clean if we could remove that code entirely. Since paths are canonicalized before being sent to the native file watcher, is it still necessary to support the REMAP command in the native file watcher?"
2015-09-30T18:42:23Z,discuss,"AFAIK File.getCanonicalPath() does not resolve substitutions on Windows, so REMAP remains relevant."
2015-09-30T18:49:02Z,discuss,"Ok, good to know. I'll consolidate the logic and push up a new commit."
2015-09-30T22:48:44Z,discuss,"I pushed a version of the code where the filewatcher does the filtering. The commit comment sums up the changes. One thing I'm a bit unhappy with is how to deal with the complex filtering logic revolving around the ""exact"" param from the old checkWatchable method. I mostly ignored it and allowed recursive roots to also match their parent."
2015-10-01T11:00:15Z,discuss,That logic is needed to handle notifications on OS X correctly. With the patch applied some tests fail.
2015-10-02T18:00:22Z,discuss,Thanks for that info.
2015-10-02T18:00:22Z,discuss,I locally rebased on the jetbrains master and ran ant test but didn't see any obvious failures. Can you let me know what tests failed and how to run them?
2015-10-02T18:00:22Z,discuss,thanks!
2015-10-02T18:26:24Z,discuss,Some of FileWatcherTest tests - 5 or 6; testDirectoryOverlapping certainly was among them. I can post the whole log if you need it.
2015-10-02T18:26:24Z,discuss,"You need to run the test on OS X to make it fail - because it verifies not only a Java part but native implementations as well, and they all behave differently. Notably, the OS X one produces only directory-level notifications (DIRTY and RECDIRTY) - that's why the ""exact"" parameter is important."
2015-10-02T18:29:24Z,discuss,"Thanks, I ran those tests in the IDE on linux but saw no errors (for obvious reasons) and ran ant test on my mac, but it looks like that must not run those tests. I'll run the tests from the IDE and that should give me the errors to investigate. thanks!"
2015-10-06T18:02:07Z,discuss,"Ok, the tests pass on linux and os x now. I don't have a windows box, so I can't speak to those tests passing or not."
2015-10-09T16:37:44Z,discuss,"Checking. Meanwhile, could you please take a look at FileWatcherTest.testIncorrectPath()? It now takes 2 minutes on Linux, seemingly because of the mapper freaking out over the non-existing path."
2015-10-12T15:28:00Z,discuss,Thanks.
2015-10-12T15:28:00Z,discuss,"I was able to repro the slowness on OS X, so I'm looking into it there (and will verify any solution on linux). It looks like the problem is actually with the test structure. The test waits (in effect) until some event is sent back from the file watcher impl. Previously, the unwatchable event would cause the waiter to be notified and the test would proceed. With the patch, the invalid path isn't being sent to the file watcher impl, so there will never be a response to notify the waiter. This causes the test to wait until the timeout."
2015-10-12T15:28:00Z,discuss,This leads to two questions:
2015-10-12T19:12:46Z,discuss,People use it in unexpectedly creative ways :) The test was added to make sure native watchers can tolerate invalid paths - there was a bug in Linux implementation which caused it to terminate prematurely.
2015-10-12T19:12:46Z,discuss,I rather agree that non-existing paths shouldn't make it to the helper process. The test should be rewritten then to reflect the fact.
2015-10-12T19:12:46Z,discuss,"There are also some strange failures on Windows, investigating."
2015-10-13T17:59:56Z,discuss,Rebased and updated file watcher tests for non-existing paths. Commit comment has a description of what I did.
2015-10-16T01:04:44Z,discuss,"Hey, I was wondering if you had updates about the windows test. I can probably get access to a windows VM, but if you happen to already have the failures for me that would be great."
2015-10-16T01:04:44Z,discuss,I was also wondering if you had any other comments about the commit.
2015-10-16T12:00:20Z,discuss,"Sorry, forgot to post an update. Most of those problems were caused by me running tests as a regular user (creating symlinks on Windows requires elevated privileges). The rest are more complicated and partially caused by substitutions handling in IdeaWin*.dll helper, still checking out."
2015-10-19T15:45:40Z,discuss,"I just pushed an alternative implementation based on your patches. It offloads all the mapping and filtering from NativeFileWatcherImpl to FileWatcher, with actual mapping code extracted to a separate class. Breaks the API a bit but makes pluggable watchers simpler to implement.
Please take a look - does it suits your needs?"
2015-10-19T15:47:58Z,discuss,Regarding non-existing paths - I would like to preserve the current behavior until I figure out how to deal with substitutions and other kinds of NTFS reparse points.
2015-10-19T18:02:53Z,discuss,Thanks! It looks good.
2015-10-19T18:02:53Z,discuss,My only concern is that the mapping lookup code is linear in the number of paths being watched. What do you think of a new patch on top of your change that replaces the mapping lookup with something that uses a tree or Map so the lookup is on the order of number of path components rather than number of watched roots?
2015-10-19T18:31:05Z,discuss,"Sure, CanonicalPathMap was extracted with this in mind."
2015-08-28T15:22:30Z,commit,Canonicalize paths before sending to file watchers,github.com/JetBrains/intellij-community/pull/301/commits/a7462f524d899318da2b8f1edc9a838af9899d3d
2015-08-28T15:22:30Z,commit,Change join to combine,github.com/JetBrains/intellij-community/pull/301/commits/e6a9f8403bb9e2706c7bdc76946b9c8b1e9780ea
2015-09-10T18:33:58Z,commit,trie implementation,github.com/JetBrains/intellij-community/pull/301/commits/979eefc62b7e67435222328302975085506cf576
2015-09-10T22:27:07Z,commit,add check when a file is watched by a symlink and a canonical path,github.com/JetBrains/intellij-community/pull/301/commits/ad48e6fd4e3fef12e4ce0519393f34273fdd2796
2015-09-18T22:14:46Z,commit,Correctly match to a flat root if the root itself is reported dirty,github.com/JetBrains/intellij-community/pull/301/commits/51a518c7fb4617c5df8e9ac36ebb52032b31b7fe
2015-09-30T15:43:07Z,commit,Move watcher communication out of lock,github.com/JetBrains/intellij-community/pull/301/commits/7f0caa51060110c8660a55a6106342b83aa1f40a
2015-09-30T17:55:04Z,commit,Reorg code to move filtering out of native filewatcher,github.com/JetBrains/intellij-community/pull/301/commits/ea941af394040f7ac8df3713ef5d076f55478c97
2015-10-05T16:11:10Z,commit,Handle imprecise OS X file watcher,github.com/JetBrains/intellij-community/pull/301/commits/6aa48b66e5bf7ac6e878fe8a0073b9e24d9fa9ce
2015-10-13T13:27:42Z,commit,Changed IncorrectPath test,github.com/JetBrains/intellij-community/pull/301/commits/4552f94bf6ea79dc89771e6544cc3555f31610ce
