593,PY-10985/IDEA-104596: Prefix based console history
2017-10-04T11:14:23Z,discuss,@fitermay Thank you for your contribution! Pull request is merged.
2017-06-17T03:07:38Z,commit,PY-10985/IDEA-104596 extract ConsoleHistoryModel interface,github.com/JetBrains/intellij-community/pull/593/commits/14541abe21186ab2b91afe38cf5551968dee07b0
2017-06-17T03:40:44Z,commit,PY-10985/IDEA-104596 provide extension point for console history model,github.com/JetBrains/intellij-community/pull/593/commits/92ac71b09a9d766eafa69c7e76a66b1d1c3c74c2
2017-06-17T20:42:17Z,commit,PY-10985/IDEA-104596 initial impl of prefix based history model,github.com/JetBrains/intellij-community/pull/593/commits/1618296c9aab80f4407aac8643ab228f27d250c3
2017-08-17T01:58:09Z,commit,PY-10985/IDEA-104596: Pick up master changes after rebase,github.com/JetBrains/intellij-community/pull/593/commits/d3c0d7c1447a983c001ad5877eecb35794761340
2017-08-17T05:10:37Z,commit,PY-10985/IDEA-104596: migrate to kotlix lib,github.com/JetBrains/intellij-community/pull/593/commits/60305cab44da53ce172f0f04864fb32a1d7652f0
2017-08-22T03:01:42Z,commit,PY-10985/IDEA-104596: Get rid of pcollections dependency,github.com/JetBrains/intellij-community/pull/593/commits/5ff9eef85b83da96306a7fd266e50ad3b2821d73
2017-08-22T03:03:12Z,commit,PY-10985/IDEA-104596: Cleanup kotlin code,github.com/JetBrains/intellij-community/pull/593/commits/f141d68e5c9321c436612d7d5005ae59b43f96d9
2017-08-23T00:25:52Z,commit,work around KT-19830,github.com/JetBrains/intellij-community/pull/593/commits/1119167814630b280ed469a29be253584fa547ee
2017-09-06T00:51:02Z,commit,PY-10985/IDEA-104596: Changes after review,github.com/JetBrains/intellij-community/pull/593/commits/487783c3b342e45d528c6b11c83909569fac480a
